date,buoyid,obs,mle
2010-06-07,46041,14.6,14.6
2010-06-07,46050,13.5167,13.5167
2010-06-07,46087,NA,8.3131
2010-06-07,46211,NA,12.5618
2010-06-08,46041,14.5958,14.5958
2010-06-08,46050,13.6,13.6
2010-06-08,46087,NA,8.3388
2010-06-08,46211,NA,12.5581
2010-06-09,46041,14.1542,14.1542
2010-06-09,46050,13.1208,13.1208
2010-06-09,46087,NA,8.1732
2010-06-09,46211,NA,12.363
2010-06-10,46041,13.4417,13.4417
2010-06-10,46050,12.7583,12.7583
2010-06-10,46087,NA,7.9781
2010-06-10,46211,NA,12.1383
2010-06-11,46041,12.7208,12.7208
2010-06-11,46050,13.0292,13.0292
2010-06-11,46087,NA,7.9026
2010-06-11,46211,NA,12.0333
2010-06-12,46041,13.1833,13.1833
2010-06-12,46050,13.3625,13.3625
2010-06-12,46087,NA,8.0655
2010-06-12,46211,NA,12.1667
2010-06-13,46041,13.4333,13.4333
2010-06-13,46050,13.5833,13.5833
2010-06-13,46087,NA,8.1663
2010-06-13,46211,NA,12.2379
2010-06-14,46041,12.8958,12.8958
2010-06-14,46050,12.2875,12.2875
2010-06-14,46087,NA,7.826
2010-06-14,46211,NA,11.8681
2010-06-15,46041,12.4667,12.4667
2010-06-15,46050,12.3208,12.3208
2010-06-15,46087,NA,7.7609
2010-06-15,46211,NA,11.7734
2010-06-16,46041,12.4708,12.4708
2010-06-16,46050,12.5792,12.5792
2010-06-16,46087,NA,7.8218
2010-06-16,46211,NA,11.8048
2010-06-17,46041,12.5375,12.5375
2010-06-17,46050,12.75,12.75
2010-06-17,46087,NA,7.8778
2010-06-17,46211,NA,11.8313
2010-06-18,46041,12.5625,12.5625
2010-06-18,46050,13.2875,13.2875
2010-06-18,46087,NA,7.9961
2010-06-18,46211,NA,11.9201
2010-06-19,46041,12.6083,12.6083
2010-06-19,46050,14.15,14.15
2010-06-19,46087,NA,8.1806
2010-06-19,46211,12.075,12.075
2010-06-20,46041,12.3958,12.3958
2010-06-20,46050,14.1083,14.1083
2010-06-20,46087,NA,8.138
